['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['255', '255', '255']
['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['255', '255', '255']
['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['225', '155', '53'],['225', '155', '53'],['107', '107', '20'],['225', '155', '53'],['255', '255', '255'],['255', '255', '255'],['255', '255', '255']
['255', '255', '255'],['255', '255', '255'],['107', '107', '20'],['225', '155', '53'],['107', '107', '20'],['225', '155', '53'],['225', '155', '53'],['225', '155', '53'],['107', '107', '20'],['225', '155', '53'],['225', '155', '53'],['225', '155', '53'],['255', '255', '255']
['255', '255', '255'],['255', '255', '255'],['107', '107', '20'],['225', '155', '53'],['107', '107', '20'],['107', '107', '20'],['225', '155', '53'],['225', '155', '53'],['225', '155', '53'],['107', '107', '20'],['225', '155', '53'],['225', '155', '53'],['225', '155', '53']
['255', '255', '255'],['255', '255', '255'],['107', '107', '20'],['107', '107', '20'],['225', '155', '53'],['225', '155', '53'],['225', '155', '53'],['225', '155', '53'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['255', '255', '255']
['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['225', '155', '53'],['225', '155', '53'],['225', '155', '53'],['225', '155', '53'],['225', '155', '53'],['225', '155', '53'],['225', '155', '53'],['255', '255', '255'],['255', '255', '255']
['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['107', '107', '20'],['107', '107', '20'],['175', '54', '43'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['255', '255', '255']
['255', '255', '255'],['255', '255', '255'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['175', '54', '43'],['107', '107', '20'],['107', '107', '20'],['175', '54', '43'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['255', '255', '255']
['255', '255', '255'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20']
['255', '255', '255'],['225', '155', '53'],['225', '155', '53'],['107', '107', '20'],['175', '54', '43'],['225', '155', '53'],['175', '54', '43'],['175', '54', '43'],['225', '155', '53'],['175', '54', '43'],['107', '107', '20'],['225', '155', '53'],['225', '155', '53']
['255', '255', '255'],['225', '155', '53'],['225', '155', '53'],['225', '155', '53'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['225', '155', '53'],['225', '155', '53'],['225', '155', '53']
['255', '255', '255'],['225', '155', '53'],['225', '155', '53'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['225', '155', '53'],['225', '155', '53']
['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['255', '255', '255'],['255', '255', '255'],['175', '54', '43'],['175', '54', '43'],['175', '54', '43'],['255', '255', '255'],['255', '255', '255']
['255', '255', '255'],['255', '255', '255'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['255', '255', '255']
['255', '255', '255'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['255', '255', '255'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20'],['107', '107', '20']
